time,r,y
0.695,4.09075,4.08709
0.696,4.0817,4.078
0.697,4.0726,4.06887
0.698,4.06347,4.0597
0.699,4.0543,4.05049
0.7,4.04508,4.04124
0.701,4.03583,4.03195
0.702,4.02654,4.02262
0.703,4.01721,4.01325
0.704,4.00783,4.00384
0.705,3.99842,3.99439
0.706,3.98897,3.9849
0.707,3.97948,3.97537
0.708,3.96995,3.96581
0.709,3.96038,3.9562
0.71,3.95078,3.94656
0.711,3.94113,3.93687
0.712,3.93144,3.92715
0.713,3.92172,3.91739
0.714,3.91195,3.90759
0.715,3.90215,3.89775
0.716,3.89231,3.88787
0.717,3.88243,3.87795
0.718,3.87252,3.868
0.719,3.86256,3.85801
0.72,3.85257,3.84798
0.721,3.84253,3.83791
0.722,3.83247,3.8278
0.723,3.82236,3.81766
0.724,3.81221,3.80748
0.725,3.80203,3.79726
0.726,3.79181,3.787
0.727,3.78155,3.77671
0.728,3.77126,3.76638
0.729,3.76092,3.75601
0.73,3.75056,3.7456
0.731,3.74015,3.73516
0.732,3.72971,3.72468
0.733,3.71923,3.71416
0.734,3.70871,3.70361
0.735,3.69816,3.69302
0.736,3.68757,3.68239
0.737,3.67694,3.67173
0.738,3.66628,3.66103
0.739,3.65558,3.6503
0.74,3.64484,3.63953
0.741,3.63407,3.62872
0.742,3.62327,3.61788
0.743,3.61242,3.607
0.744,3.60155,3.59609
0.745,3.59063,3.58514
0.746,3.57968,3.57415
0.747,3.5687,3.56313
0.748,3.55768,3.55208
0.749,3.54662,3.54099
0.75,3.53553,3.52986
0.751,3.52441,3.5187
0.752,3.51325,3.50751
0.753,3.50206,3.49628
0.754,3.49083,3.48502
0.755,3.47956,3.47372
0.756,3.46827,3.46239
0.757,3.45693,3.45102
0.758,3.44557,3.43962
0.759,3.43417,3.42818
0.76,3.42274,3.41672
0.761,3.41127,3.40521
0.762,3.39977,3.39368
0.763,3.38823,3.38211
0.764,3.37666,3.37051
0.765,3.36506,3.35887
0.766,3.35343,3.3472
0.767,3.34176,3.3355
0.768,3.33006,3.32376
0.769,3.31833,3.312
0.77,3.30656,3.3002
0.771,3.29476,3.28836
0.772,3.28293,3.2765
0.773,3.27106,3.2646
0.774,3.25917,3.25267
0.775,3.24724,3.24071
0.776,3.23528,3.22871
0.777,3.22329,3.21669
0.778,3.21126,3.20463
0.779,3.19921,3.19254
0.78,3.18712,3.18042
0.781,3.175,3.16827
0.782,3.16285,3.15608
0.783,3.15067,3.14387
0.784,3.13846,3.13162
0.785,3.12621,3.11935
0.786,3.11394,3.10704
0.787,3.10163,3.0947
0.788,3.0893,3.08233
0.789,3.07693,3.06993
0.79,3.06454,3.0575
0.791,3.05211,3.04504
0.792,3.03965,3.03255
0.793,3.02716,3.02003
0.794,3.01465,3.00749
0.795,3.0021,2.99491
0.796,2.98952,2.9823
0.797,2.97692,2.96966
0.798,2.96428,2.95699
0.799,2.95162,2.9443
0.8,2.93893,2.93157
0.801,2.9262,2.91882
0.802,2.91345,2.90603
0.803,2.90067,2.89322
0.804,2.88786,2.88038
0.805,2.87503,2.86751
0.806,2.86216,2.85461
0.807,2.84927,2.84169
0.808,2.83634,2.82874
0.809,2.82339,2.81575
0.81,2.81042,2.80275
0.811,2.79741,2.78971
0.812,2.78438,2.77664
0.813,2.77132,2.76355
0.814,2.75823,2.75043
0.815,2.74511,2.73729
0.816,2.73197,2.72411
0.817,2.7188,2.71091
0.818,2.70561,2.69769
0.819,2.69238,2.68443
0.82,2.67913,2.67115
0.821,2.66586,2.65785
0.822,2.65256,2.64452
0.823,2.63923,2.63116
0.824,2.62587,2.61777
0.825,2.61249,2.60436
0.826,2.59909,2.59093
0.827,2.58565,2.57746
0.828,2.5722,2.56398
0.829,2.55872,2.55046
0.83,2.54521,2.53693
0.831,2.53167,2.52336
0.832,2.51812,2.50978
0.833,2.50453,2.49617
0.834,2.49093,2.48253
0.835,2.47729,2.46887
0.836,2.46364,2.45518
0.837,2.44996,2.44147
0.838,2.43625,2.42774
0.839,2.42252,2.41398
0.84,2.40877,2.4002
0.841,2.39499,2.38639
0.842,2.38119,2.37256
0.843,2.36737,2.35871
0.844,2.35352,2.34483
0.845,2.33965,2.33094
0.846,2.32576,2.31701
0.847,2.31184,2.30307
0.848,2.2979,2.2891
0.849,2.28394,2.27511
0.85,2.26995,2.2611
0.851,2.25595,2.24706
0.852,2.24192,2.23301
0.853,2.22786,2.21893
0.854,2.21379,2.20483
0.855,2.1997,2.1907
0.856,2.18558,2.17656
0.857,2.17144,2.16239
0.858,2.15728,2.14821
0.859,2.1431,2.134
0.86,2.1289,2.11977
0.861,2.11467,2.10552
0.862,2.10043,2.09125
0.863,2.08616,2.07696
0.864,2.07188,2.06264
0.865,2.05757,2.04831
0.866,2.04325,2.03396
0.867,2.0289,2.01958
0.868,2.01453,2.00519
0.869,2.00015,1.99078
0.87,1.98574,1.97635
0.871,1.97131,1.96189
0.872,1.95687,1.94742
0.873,1.9424,1.93293
0.874,1.92792,1.91842
0.875,1.91342,1.9039
0.876,1.8989,1.88935
0.877,1.88436,1.87478
0.878,1.8698,1.8602
0.879,1.85522,1.8456
0.88,1.84062,1.83098
0.881,1.82601,1.81634
0.882,1.81138,1.80168
0.883,1.79673,1.787
0.884,1.78206,1.77231
0.885,1.76737,1.7576
0.886,1.75267,1.74288
0.887,1.73795,1.72813
0.888,1.72321,1.71337
0.889,1.70846,1.69859
0.89,1.69369,1.6838
0.891,1.6789,1.66899
0.892,1.6641,1.65416
0.893,1.64928,1.63931
0.894,1.63444,1.62445
0.895,1.61959,1.60958
0.896,1.60472,1.59468
0.897,1.58983,1.57977
0.898,1.57493,1.56485
0.899,1.56002,1.54991
0.9,1.54508,1.53496
0.901,1.53014,1.51999
0.902,1.51518,1.505
0.903,1.5002,1.49
0.904,1.48521,1.47499
0.905,1.4702,1.45996
0.906,1.45518,1.44492
0.907,1.44015,1.42986
0.908,1.4251,1.41479
0.909,1.41003,1.3997
0.91,1.39496,1.3846
0.911,1.37986,1.36949
0.912,1.36476,1.35436
0.913,1.34964,1.33922
0.914,1.33451,1.32407
0.915,1.31937,1.3089
0.916,1.30421,1.29373
0.917,1.28904,1.27853
0.918,1.27385,1.26333
0.919,1.25866,1.24811
0.92,1.24345,1.23288
0.921,1.22823,1.21764
0.922,1.213,1.20239
0.923,1.19775,1.18712
0.924,1.18249,1.17185
0.925,1.16723,1.15656
0.926,1.15195,1.14126
0.927,1.13666,1.12595
0.928,1.12135,1.11062
0.929,1.10604,1.09529
0.93,1.09072,1.07995
0.931,1.07538,1.06459
0.932,1.06004,1.04923
0.933,1.04468,1.03385
0.934,1.02931,1.01847
0.935,1.01394,1.00307
0.936,0.99855,0.987664
0.937,0.983153,0.972249
0.938,0.967747,0.956824
0.939,0.952332,0.941389
0.94,0.936907,0.925945
0.941,0.921472,0.910492
0.942,0.906029,0.895031
0.943,0.890576,0.87956
0.944,0.875115,0.86408
0.945,0.859646,0.848592
0.946,0.844167,0.833096
0.947,0.828681,0.817592
0.948,0.813186,0.802079
0.949,0.797683,0.786559
0.95,0.782172,0.77103
0.951,0.766654,0.755494
0.952,0.751128,0.739951
0.953,0.735595,0.724401
0.954,0.720054,0.708843
0.955,0.704506,0.693278
0.956,0.688951,0.677706
0.957,0.67339,0.662128
0.958,0.657822,0.646543
0.959,0.642247,0.630952
0.96,0.626666,0.615355
0.961,0.611079,0.599751
0.962,0.595486,0.584142
0.963,0.579887,0.568527
0.964,0.564282,0.552906
0.965,0.548672,0.53728
0.966,0.533056,0.521648
0.967,0.517435,0.506012
0.968,0.501809,0.49037
0.969,0.486177,0.474724
0.97,0.470542,0.459072
0.971,0.454901,0.443417
0.972,0.439256,0.427757
0.973,0.423607,0.412092
0.974,0.407953,0.396424
0.975,0.392295,0.380752
0.976,0.376634,0.365076
0.977,0.360969,0.349396
0.978,0.3453,0.333713
0.979,0.329628,0.318027
0.98,0.313953,0.302337
0.981,0.298274,0.286645
0.982,0.282593,0.27095
0.983,0.266908,0.255252
0.984,0.251222,0.239551
0.985,0.235532,0.223849
0.986,0.219841,0.208144
0.987,0.204147,0.192437
0.988,0.188451,0.176728
0.989,0.172753,0.161017
0.99,0.157054,0.145305
0.991,0.141353,0.129591
0.992,0.12565,0.113876
0.993,0.109947,0.0981598
0.994,0.0942422,0.0824427
